Rama de conocimiento,Rank,Nombre,Citas,H-index,Perfil,Grupo
Ciencias Biol�gicas  ,1, REGINO ZAMORA RODRIGUEZ,6279,43,http://scholar.google.com/citations?user=zsEqa94AAAAJ&hl=es,RNM220
Ciencias Biol�gicas  ,2, JOSE L. OLIVER JIMENEZ,4102,27,http://scholar.google.es/citations?user=b-W6XPMAAAAJ&hl=es,BIO162
Ciencias Biol�gicas  ,3, JUAN PEDRO MARTINEZ CAMACHO,3296,29,http://scholar.google.es/citations?user=ogjZENgAAAAJ&hl=es,BIO165
Ciencias Biol�gicas  ,4, JUAN MANUEL PLEGUEZUELOS GOMEZ,1833,21,http://scholar.google.es/citations?user=7RpXDWsAAAAJ&hl=es,RNM254
Ciencias Biol�gicas  ,5, JOSE ANTONIO LUPIA�EZ CARA,1808,24,http://scholar.google.es/citations?user=euAKVnMAAAAJ&hl=es,BIO157
Ciencias Biol�gicas  ,6, JUAN GABRIEL MARTINEZ SUAREZ,1632,24,http://scholar.google.es/citations?user=3K4FdCoAAAAJ&hl=es,RNM339
Ciencias Biol�gicas  ,7, MANUEL ANGEL GARRIDO RAMOS,1400,25,http://scholar.google.es/citations?user=lKgwQoUAAAAJ&hl=es,BIO109
Ciencias Biol�gicas  ,8, FRANCISCO PERFECTTI ALVAREZ,1203,22,http://scholar.google.com/citations?user=ZYKvJQcAAAAJ&hl=es,BIO165
Ciencias Biol�gicas  ,9, CARMEN ZAMORA MU�OZ,1178,19,http://scholar.google.es/citations?user=wk2Py8gAAAAJ&hl=es,RNM102
Ciencias Biol�gicas  ,10, RAFAEL NAVAJAS PEREZ,964,14,http://scholar.google.es/citations?user=q-LsHfYAAAAJ&hl=es,BIO200
Ciencias Biol�gicas  ,11, MICHAEL HACKENBERG,838,12,http://scholar.google.es/citations?user=qtXYrNUAAAAJ&hl=es,BIO162
Ciencias Biol�gicas  ,12, PALOMA CARI�ANOS GONZALEZ,809,16,http://scholar.google.es/citations?user=zVd0WzoAAAAJ&hl=es,RNM130
Ciencias Biol�gicas  ,13, TOMAS PEREZ CONTRERAS,772,15,http://scholar.google.es/citations?user=nJO8Vh8AAAAJ&hl=es,RNM339
Ciencias Biol�gicas  ,14, FRANCISCA ALBA SANCHEZ,581,14,http://scholar.google.es/citations?user=6t0ivcUAAAAJ&hl=es,RNM110
Ciencias Biol�gicas  ,15, DOMINGO ALCARAZ SEGURA,432,12,http://scholar.google.com/citations?user=2nE7TNgAAAAJ&hl=es,RNM174
Ciencias Biol�gicas  ,16, MANUEL CASARES PORCEL,422,9,http://scholar.google.es/citations?user=bp4FIpIAAAAJ&hl=es,RNM170
Ciencias Biol�gicas  ,17, MOHAMMED BAKKALI,335,11,http://scholar.google.es/citations?user=_zkp8oAAAAJ&hl=es,BIO165
Ciencias Biol�gicas  ,18, AMALIA PEREZ JIMENEZ,317,8,http://scholar.google.es/citations?user=Hjjmt-4AAAAJ&hl=es,RNM156
Ciencias Biol�gicas  ,19, JUAN LORITE MORENO,308,10,http://scholar.google.es/citations?user=HQTxWuwAAAAJ&hl=es,RNM207
Ciencias Biol�gicas  ,20, MOHAMED ABDELAZIZ MOHAMED,265,8,http://scholar.google.com/citations?user=AODr43MAAAAJ&hl=es,BIO165
Ciencias Biol�gicas  ,21, JOSE ANGEL TRAVERSO GUTIERREZ,257,8,http://scholar.google.es/citations?user=IIlnvvYAAAAJ&hl=es,SINGRUPO
Ciencias Biol�gicas  ,22, EVA ENCARNACION RUFINO PALOMARES,169,5,http://scholar.google.es/citations?user=h1VV-KAAAAAJ&hl=es,BIO157
Ciencias Biol�gicas  ,23, GUILLERMO BARTUREN BRI�AS,80,5,http://scholar.google.es/citations?user=SqhugoAAAAJ&hl=es,BIO162
Ciencias Biol�gicas  ,24, EVA MARIA CA�ADAS SANCHEZ,53,5,http://scholar.google.es/citations?user=m7qWNqsAAAAJ&hl=es,RNM207
Ciencias Biol�gicas  ,25, MIGUEL BALLESTEROS JIMENEZ,29,4,http://scholar.google.es/citations?user=1tIAhHEAAAAJ&hl=es,RNM207
Ciencias Biol�gicas  ,26, VIRGINIA SALAVERT ANDRES,24,3,http://scholar.google.es/citations?user=sCdMdjMAAAAJ&hl=es,RNM102
Ciencias Biol�gicas  ,27, FRANCISCO JESUS RUIZ-RUANO CAMPA�A,19,2,http://scholar.google.es/citations?user=pO0HK8AAAAJ&hl=es,BIO165
Ciencias Biol�gicas  ,28, BEATRIZ MARIA NAVARRO DOMINGUEZ,2,1,http://scholar.google.es/citations?user=afiir0AAAAJ&hl=es,BIO165
Ciencias Exactas y Naturales  ,1, SERGIO NAVAS CONCHA,61581,59,http://scholar.google.es/citations?user=MLCUktcAAAAJ&hl=es,FQM330
Ciencias Exactas y Naturales  ,2, JUAN ANTONIO AGUILAR SAAVEDRA,30963,83,http://scholar.google.es/citations?user=J3KkU5EAAAAJ&hl=es&oi=sra,FQM101
Ciencias Exactas y Naturales  ,3, ROBERTO PITTAU,10570,40,http://scholar.google.es/citations?user=cQp1BYYAAAAJ&hl=es,FQM101
Ciencias Exactas y Naturales  ,4, ANDREW STEPHEN KOWALSKI,8900,28,http://scholar.google.com/citations?user=UfSFNCsAAAAJ&hl=es,RNM119
Ciencias Exactas y Naturales  ,5, CARLOS MORENO CASTILLA,8897,46,http://scholar.google.es/citations?user=ynEpCS4AAAAJ&hl=es,RNM172
Ciencias Exactas y Naturales  ,6, JOSE RIVERA UTRILLA,6829,43,http://scholar.google.com/citations?user=TPyqlgYAAAAJ&hl=es,RNM172
Ciencias Exactas y Naturales  ,7, JUAN DE DIOS LUNA DEL CASTILLO,6130,41,http://scholar.google.com/citations?user=AxUQXXcAAAAJ&hl=es,FQM235
Ciencias Exactas y Naturales  ,8, FRANCISCO DEL AGUILA GIMENEZ,5932,46,http://scholar.google.es/citations?user=JRT0TsMAAAAJ&hl=es,FQM101
Ciencias Exactas y Naturales  ,9, EDUARDO BATTANER LOPEZ,5712,35,http://scholar.google.es/citations?user=jCT0G40AAAAJ&hl=es,FQM108
Ciencias Exactas y Naturales  ,10, ALBERTO FERNANDEZ GUTIERREZ,5704,38,http://scholar.google.es/citations?user=6cm8HLEAAAAJ&hl=es,FQM297
Ciencias Exactas y Naturales  ,11, ANTONIO SEGURA CARRETERO,5604,37,http://scholar.google.com/citations?user=gip_sxsAAAAJ&hl=es,AGR274
Ciencias Exactas y Naturales  ,12, JOSE MANUEL SANCHEZ RUIZ,5308,39,https://scholar.google.es/citations?user=L9m2zcMAAAAJ&hl,BIO223
Ciencias Exactas y Naturales  ,13, ROQUE HIDALGO ALVAREZ,4828,36,http://scholar.google.es/citations?user=xf9mSAEAAAAJ&hl=es,FQM115
Ciencias Exactas y Naturales  ,14, ANGEL VICENTE DELGADO MORA,4612,33,http://scholar.google.com/citations?user=8BlXpUcAAAAJ&hl=es,FQM144
Ciencias Exactas y Naturales  ,15, ENRIQUE RUIZ ARRIOLA,4505,36,http://scholar.google.es/citations?user=Yxfx7A8AAAAJ&hl=es,FQM225
Ciencias Exactas y Naturales  ,16, JOSE LUIS VILCHEZ QUERO,4314,39,http://scholar.google.es/citations?user=9Q_GfdMAAAAJ&hl=es,FQM338
Ciencias Exactas y Naturales  ,17, JOAQUIN MARRO BORAU,4040,25,http://scholar.google.es/citations?user=3R5GejMAAAAJ&hl=es,FQM165
Ciencias Exactas y Naturales  ,18, MIGUEL ANGEL MU�OZ MARTINEZ,4007,32,http://scholar.google.es/citations?user=IwZEKqoAAAAJ&hl=es,FQM165
Ciencias Exactas y Naturales  ,19, JORGE CASTRO GUTIERREZ,3994,27,http://scholar.google.es/citations?user=d5SEfi0AAAAJ&hl=es,RNM220
Ciencias Exactas y Naturales  ,20, FERNANDO BEA BARREDO,3835,33,http://scholar.google.es/citations?user=xipVmwYAAAAJ&hl=es,RNM302
Ciencias Exactas y Naturales  ,21, FRANCISCO GONZALEZ LODEIRO,3788,33,http://scholar.google.es/citations?user=oszweAYAAAAJ&hl=es,RNM148
Ciencias Exactas y Naturales  ,22, FRANCISCO CARRASCO MARIN,3782,30,http://scholar.google.es/citations?user=Xg6POw4AAAAJ&hl=es,RNM172
Ciencias Exactas y Naturales  ,23, JESUS SANCHEZ-DEHESA MORENO-CID,3552,31,http://scholar.google.es/citations?user=IM07PTcAAAAJ&hl=es,FQM207
Ciencias Exactas y Naturales  ,24, LUIS FERMIN CAPITAN VALLVEY,3541,29,http://scholar.google.es/citations?user=hNeZ940AAAAJ&hl=es,FQM118
Ciencias Exactas y Naturales  ,25, LUCAS ALADOS ARBOLEDAS,3489,33,http://scholar.google.es/citations?user=CMmEjJYAAAAJ&hl=es,RNM119
Ciencias Exactas y Naturales  ,26, MANUEL PEREZ-VICTORIA MORENO DE BARREDA,3415,27,http://scholar.google.es/citations?user=M8I-oUY3DiMC&hl=es,FQM101
Ciencias Exactas y Naturales  ,27, LORENZO LUIS SALCEDO MORENO,3210,29,http://scholar.google.es/citations?user=OxnSwKkAAAAJ&hl=es,FQM225
Ciencias Exactas y Naturales  ,28, JOSE SANTIAGO PEREZ,2951,30,http://scholar.google.es/citations?user=RzyLr5AAAAAJ&hl=es,FQM101
Ciencias Exactas y Naturales  ,29, FERNANDO GONZALEZ CABALLERO,2871,27,http://scholar.google.es/citations?user=mAaQe8MAAAAJ&hl=es,FQM144
Ciencias Exactas y Naturales  ,30, FRANCISCO JOSE MALDONADO HODAR,2618,27,http://scholar.google.es/citations?user=arCuH5gAAAAJ&hl=es,RNM172
Ciencias Exactas y Naturales  ,31, ALBERTO NAVALON MONTON,2593,30,http://scholar.google.es/citations?user=hVFuzm8AAAAJ&hl=es,FQM338
Ciencias Exactas y Naturales  ,32, MARIA CARMEN GARCIA RECIO,2329,24,http://scholar.google.es/citations?user=MFoelVMAAAAJ&hl=es,FQM225
Ciencias Exactas y Naturales  ,33, JESUS GALINDO ZALDIVAR,2301,26,http://scholar.google.es/citations?user=lK-eomsAAAAJ&hl=es,RNM148
Ciencias Exactas y Naturales  ,34, FRANCISCO SANTOYO GONZALEZ,2210,28,http://scholar.google.es/citations?user=vkmQKLEAAAAJ&hl=es,FQM208
Ciencias Exactas y Naturales  ,35, FRANCISCO JOSE OLMO REYES,2162,26,http://scholar.google.es/citations?user=OTYgOsEAAAAJ&hl=es,RNM119
Ciencias Exactas y Naturales  ,36, JAVIER LOPEZ ALBACETE,2108,19,http://scholar.google.es/citations?user=zvTRzc0AAAAJ&hl=es,FQM101
Ciencias Exactas y Naturales  ,37, MIGUEL SANCHEZ CAJA,2075,23,http://scholar.google.es/citations?user=3TrRMLkAAAAJ&hl=es,FQM324
Ciencias Exactas y Naturales  ,38, MIGUEL ANGEL CABRERIZO VILCHEZ,2056,27,http://scholar.google.es/citations?user=lc0Vmf4AAAAJ&hl=es,FQM115
Ciencias Exactas y Naturales  ,39, MARIA ELVIRA GAMIZ S�NCHEZ,2036,24,http://scholar.google.es/citations?user=LLMVc5cAAAAJ&hl=es,FQM101
Ciencias Exactas y Naturales  ,40, JOSE ENRIQUE AMARO SORIANO,2020,26,http://scholar.google.es/citations?user=-Jur2ekAAAAJ&hl=es,FQM225
Ciencias Exactas y Naturales  ,41, PEDRO JOSE TORRES VILLARROYA,1864,22,http://scholar.google.es/citations?user=h5grY3MAAAAJ&hl=es,FQM183
Ciencias Exactas y Naturales  ,42, JUAN MANUEL CUERVA CARVAJAL,1863,24,http://scholar.google.es/citations?user=XVgEFtEAAAAJ&hl=es,FQM340
Ciencias Exactas y Naturales  ,43, NIKOLAY BOJKOV VASSILEV,1765,27,http://scholar.google.es/citations?user=DUBtVV8AAAAJ&hl=es,AGR269
Ciencias Exactas y Naturales  ,44, JOSE MIGUEL AZA�ON HERNANDEZ,1737,22,http://scholar.google.es/citations?user=4jvVDzUAAAAJ&hl=es,RNM148
Ciencias Exactas y Naturales  ,45, JUAN DE VICENTE ALVAREZ-MANZANEDA,1701,24,http://scholar.google.es/citations?user=AxCRCSIAAAAJ&hl=es,FQM115
Ciencias Exactas y Naturales  ,46, ANGEL RODRIGUEZ PALACIOS,1670,23,http://scholar.google.es/citations?user=QWUcVTQAAAAJ&hl=es,FQM199
Ciencias Exactas y Naturales  ,47, MANUEL MASIP MELLADO,1627,21,http://scholar.google.es/citations?user=jsNwlPAAAAAJ&hl=es,FQM101
Ciencias Exactas y Naturales  ,48, FRANCISCA MARTINEZ RUIZ,1611,22,http://scholar.google.es/citations?user=qxbsrgIAAAAJ&hl=es,RNM179
Ciencias Exactas y Naturales  ,49, JESUS MIGUEL IBA�EZ GODOY,1546,23,http://scholar.google.es/citations?user=vH37E5MAAAAJ&hl=es,RNM104
Ciencias Exactas y Naturales  ,50, ALFONSO ROMERO SARABIA,1474,20,http://scholar.google.es/citations?user=dAn8SlAAAAAJ&hl=es,FQM324
Ciencias Exactas y Naturales  ,51, MARIA JESUS ESTEBAN PARRA,1437,18,http://scholar.google.es/citations?user=cqbcCpsAAAAJ&hl=es,RNM119
Ciencias Exactas y Naturales  ,52, IRENE LUQUE FERNANDEZ,1415,16,http://scholar.google.es/citations?user=lKiCShQAAAAJ&hl=es,FQM171
Ciencias Exactas y Naturales  ,53, FERNANDO HERNANDEZ MATEO,1394,19,http://scholar.google.es/citations?user=mUee5PoAAAAJ&hl=es,FQM208
Ciencias Exactas y Naturales  ,54, ISABEL RECHE CA�ABATE,1245,20,http://scholar.google.es/citations?user=mEfmVgMAAAAJ&hl=es,RNM125
Ciencias Exactas y Naturales  ,55, PEDRO ABELARDO GARCIA SANCHEZ,1213,17,http://scholar.google.es/citations?user=gvq9UmMAAAAJ&hl=es,FQM343
Ciencias Exactas y Naturales  ,56, AGUSTIN FRANCISCO PEREZ CADENAS,1180,20,http://scholar.google.es/citations?user=x4cwF2UAAAAJ&hl=es,RNM172
Ciencias Exactas y Naturales  ,57, FERNANDO NIETO GARCIA,1177,20,http://scholar.google.es/citations?user=8Wt87iYAAAAJ&hl=es,RNM179
Ciencias Exactas y Naturales  ,58, JOSE RAFAEL JUSTICIA LADRON DE GUEVARA,1097,17,http://scholar.google.es/citations?user=ZdhrpfkAAAAJ&hl=es,FQM367
Ciencias Exactas y Naturales  ,59, JOSE SANDOVAL GABARRON,1091,18,http://scholar.google.es/citations?user=iBue0_AAAAAJ&hl=es,RNM373
Ciencias Exactas y Naturales  ,60, DAVID ARRAEZ ROMAN,1090,20,http://scholar.google.es/citations?user=8zT2PpgAAAAJ&hl=es,FQM297
Ciencias Exactas y Naturales  ,61, JORGE JIMENEZ VICENTE,1074,15,http://scholar.google.es/citations?user=NRMLZksAAAAJ&hl=es,FQM108
Ciencias Exactas y Naturales  ,62, JOSE IGNACIO ILLANA CALERO,1065,17,http://scholar.google.es/citations?user=8w-XLlgAAAAJ&hl=es,FQM101
Ciencias Exactas y Naturales  ,63, ALBERTO MARTIN MOLINA,1052,20,http://scholar.google.es/citations?user=ihuRDogAAAAJ&hl=es,FQM115
Ciencias Exactas y Naturales  ,64, CARLOTA ESCUTIA DOTTI,1023,16,http://scholar.google.es/citations?user=OOlHGx0AAAAJ&hl=es,RNM215
Ciencias Exactas y Naturales  ,65, JOSE CALLEJAS FERNANDEZ,1003,19,http://scholar.google.es/citations?user=4BSS9QkAAAAJ&hl=es,FQM115
Ciencias Exactas y Naturales  ,66, ELVIRA ROMERA GUTIERREZ,965,17,http://scholar.google.es/citations?user=1FHs60gAAAAJ&hl=es,FQM165
Ciencias Exactas y Naturales  ,67, JOSE GOMEZ TORRECILLAS,946,17,http://scholar.google.es/citations?user=JLAmmfcAAAAJ&hl=es,FQM379
Ciencias Exactas y Naturales  ,68, JOAQUIN PEREZ MU�OZ,939,18,http://scholar.google.es/citations?user=GK5bCXQAAAAJ&hl=es,FQM325
Ciencias Exactas y Naturales  ,69, JOAQUIN JAVIER TORRES AGUDO,936,17,http://scholar.google.es/citations?user=nGRtncsAAAAJ&hl=es,FQM165
Ciencias Exactas y Naturales  ,70, DUANE CHOQUESILLO LAZARTE,922,17,http://scholar.google.es/citations?user=gWHNCv0AAAAJ&hl=es,FQM283
Ciencias Exactas y Naturales  ,71, MIGUEL ORTEGA HUERTAS,919,18,http://scholar.google.es/citations?user=tj9mSV0AAAAJ&hl=es,RNM179
Ciencias Exactas y Naturales  ,72, MODESTO TORCUATO LOPEZ LOPEZ,913,19,http://scholar.google.es/citations?user=GDj5MWgAAAAJ&hl=es,FQM144
Ciencias Exactas y Naturales  ,73, JAVIER HERNANDEZ ANDRES,909,16,http://scholar.google.es/citations?user=JHypwOEAAAAJ&hl=es,FQM151
Ciencias Exactas y Naturales  ,74, ANA MARIA AGUILERA DEL PINO,895,16,http://scholar.google.es/citations?user=OQR5iZkAAAAJ&hl=es,FQM307
Ciencias Exactas y Naturales  ,75, SALVADOR GONZALEZ GARCIA,886,17,http://scholar.google.es/citations?user=rnpbTm0AAAAJ&hl=es,TIC131
Ciencias Exactas y Naturales  ,76, JORGE FERNANDO FERNANDEZ SANCHEZ,855,19,http://scholar.google.es/citations?user=EKpXPZEAAAAJ&hl=es,FQM297
Ciencias Exactas y Naturales  ,77, HASSAN LYAMANI,850,15,http://scholar.google.es/citations?user=YqzFgjoAAAAJ&hl=es,RNM119
Ciencias Exactas y Naturales  ,77, PABLO IGNACIO HURTADO FERNANDEZ,850,13,http://scholar.google.es/citations?user=9vYs8AIAAAAJ&hl=es,FQM165
Ciencias Exactas y Naturales  ,79, JULIA MALDONADO VALDERRAMA,842,17,http://scholar.google.es/citations?user=GB4gdxEAAAAJ&hl=es,FQM115
